Channel  Owner  SlaveId  Periph
116.     1.     0xF      0x00
57.      4.     0x2      0x06
24.      0.     0x1      0xF3
23.      0.     0x1      0xF2
22.      0.     0x1      0xF1
21.      0.     0x1      0xF0
20.      0.     0x1      0xC0
19.      0.     0x1      0xBC
56.      4.     0x1      0x53
55.      4.     0x1      0x52
54.      4.     0x1      0x51
60.      4.     0x1      0x50
86.      4.     0x1      0x4F
85.      4.     0x1      0x4E
84.      4.     0x1      0x4D
59.      4.     0x1      0x4C
53.      4.     0x1      0x4B
52.      4.     0x1      0x4A
51.      4.     0x1      0x49
50.      4.     0x1      0x48
49.      4.     0x1      0x47
48.      4.     0x1      0x46
58.      4.     0x1      0x45
47.      4.     0x1      0x44
46.      4.     0x1      0x43
45.      4.     0x1      0x42
44.      4.     0x1      0x41
43.      4.     0x1      0x40
66.      4.     0x1      0x1F
65.      4.     0x1      0x1E
64.      4.     0x1      0x1D
63.      4.     0x1      0x1C
62.      4.     0x1      0x1B
61.      4.     0x1      0x1A
18.      0.     0x1      0x19
17.      0.     0x1      0x18
16.      0.     0x1      0x17
68.      4.     0x1      0x16
67.      4.     0x1      0x15
69.      4.     0x1      0x14
42.      4.     0x1      0x10
115.     4.     0x0      0xFE
98.      0.     0x0      0xC3
97.      0.     0x0      0xC2
96.      5.     0x0      0xC1
95.      2.     0x0      0xC0
94.      0.     0x0      0xA3
93.      0.     0x0      0xA2
92.      0.     0x0      0xA1
91.      0.     0x0      0xA0
83.      0.     0x0      0x77
82.      0.     0x0      0x76
81.      0.     0x0      0x75
80.      2.     0x0      0x74
41.      0.     0x0      0x73
40.      0.     0x0      0x72
39.      0.     0x0      0x71
38.      4.     0x0      0x70
15.      0.     0x0      0x62
14.      0.     0x0      0x61
79.      2.     0x0      0x60
37.      4.     0x0      0x5A
36.      4.     0x0      0x59
35.      4.     0x0      0x55
34.      4.     0x0      0x54
33.      4.     0x0      0x52
32.      4.     0x0      0x51
78.      2.     0x0      0x50
13.      0.     0x0      0x40
12.      0.     0x0      0x35
11.      0.     0x0      0x34
10.      2.     0x0      0x33
77.      4.     0x0      0x32
9.       0.     0x0      0x31
31.      4.     0x0      0x2C
8.       0.     0x0      0x28
7.       0.     0x0      0x24
76.      2.     0x0      0x1C
6.       0.     0x0      0x16
5.       0.     0x0      0x13
4.       0.     0x0      0x12
3.       0.     0x0      0x10
2.       0.     0x0      0x0A
0.       4.     0x0      0x09
1.       0.     0x0      0x08
114.     4.     0x0      0x06
113.     4.     0x0      0x05
112.     4.     0x0      0x04
111.     4.     0x0      0x01
